Delta Time, X Point, Y Point, Position, Velocity, Acceleration, Jerk, Heading, 
20, 4.629076, 1.332662, 3.125385, 0.322259, -2.179034, 0.091692, 5.809124, 
20, 4.634046, 1.330140, 3.130958, 0.278650, -2.180434, -0.069987, 5.818075, 
20, 4.638254, 1.328048, 3.135657, 0.234973, -2.183879, -0.172254, 5.825603, 
20, 4.641697, 1.326366, 3.139489, 0.191577, -2.169788, 0.704540, 5.831726, 
20, 4.644416, 1.325056, 3.142507, 0.150906, -2.033559, 6.811430, 5.836539, 
20, 4.646493, 1.324066, 3.144808, 0.115049, -1.792822, 12.036849, 5.840202, 
20, 4.648012, 1.323348, 3.146489, 0.084031, -1.550940, 12.094093, 5.842873, 
20, 4.649060, 1.322855, 3.147646, 0.057870, -1.308020, 12.146035, 5.844711, 
20, 4.649722, 1.322545, 3.148378, 0.036585, -1.064266, 12.187713, 5.845871, 
20, 4.650088, 1.322374, 3.148781, 0.020187, -0.819913, 12.217603, 5.846512, 
20, 4.650245, 1.322301, 3.148955, 0.008683, -0.575186, 12.236375, 5.846787, 
20, 4.650283, 1.322283, 3.148997, 0.002078, -0.330263, 12.246140, 5.846853, 
20, 4.650283, 1.322283, 3.148997, 0.000000, -0.103886, 11.318859, 5.846853, 
