Delta Time, X Point, Y Point, Position, Velocity, Acceleration, Jerk, Heading, 
20, 0.543214, 0.394511, 4.613271, 0.560357, -3.584375, -0.211794, 3.146686, 
20, 0.533443, 0.394466, 4.623043, 0.488595, -3.588130, -0.187772, 3.145548, 
20, 0.525107, 0.394437, 4.631378, 0.416767, -3.591404, -0.163718, 3.144571, 
20, 0.518210, 0.394420, 4.638276, 0.344883, -3.594197, -0.139638, 3.143758, 
20, 0.512694, 0.394410, 4.643791, 0.275788, -3.454744, 6.972661, 3.143105, 
20, 0.508424, 0.394404, 4.648061, 0.213494, -3.114703, 17.002037, 3.142598, 
20, 0.505240, 0.394402, 4.651245, 0.159177, -2.715836, 19.943363, 3.142219, 
20, 0.502984, 0.394401, 4.653502, 0.112847, -2.316507, 19.966440, 3.141949, 
20, 0.501493, 0.394400, 4.654992, 0.074510, -1.916842, 19.983275, 3.141771, 
20, 0.500610, 0.394400, 4.655875, 0.044171, -1.516945, 19.994857, 3.141666, 
20, 0.500173, 0.394400, 4.656312, 0.021833, -1.116901, 20.002180, 3.141613, 
20, 0.500023, 0.394400, 4.656462, 0.007498, -0.716776, 20.006236, 3.141595, 
20, 0.500000, 0.394400, 4.656485, 0.001165, -0.316616, 20.008018, 3.141593, 
20, 0.500000, 0.394400, 4.656485, 0.000000, -0.058266, 12.917514, 3.141593, 
